database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country,county,year
IDIGBIO_3511,undetermined,13.30525,123.68836,7824a80a-fefa-4d0f-a5da-851d5ea38d86,preservedspecimen,10-Mar-16,albi,barungi mariroc,NA,NA,siler brachymeles expedition 1,philippines,city of tabaco,NA
IDIGBIO_3514,creontiades dilutus,-32.65,137.3,4e2a5aed-4c21-4b9f-8c0c-a29cb00c4a07,preservedspecimen,23/10/1968,south australia,10 mi. ne by e of iron knob,NA,10000,"britton|, e.b.|upton|, m.s.|balderson|, j.",australia,NA,1968
IDIGBIO_3521,creontiades dilutus,-28.066669,145.683334,32677466-690d-4b15-9b84-d02fa0736f8e,preservedspecimen,22/10/1938,queensland,cunnamulla (general),NA,10000,"geary, n.",australia,NA,1938
IDIGBIO_3532,restiophylus leptocarpi,-34.85263,116.3945,f1e7d63d-ad07-4bdd-9af6-1907ab2b5537,preservedspecimen,02/12/1999,western australia,"10.1 km w of broke inlet road on chesapeak road, d'entrecasteaux national park",NA,100,"r.t. schuh, g. cassis, and r. silveira",australia,none,1999
IDIGBIO_3536,creontiades dilutus,-33.566669,148.666672,82380d61-8751-482f-aca7-5c2f75d39393,preservedspecimen,17/02/1950,new south wales,"belubula farms, canowindra",NA,10000,"grylls, n.e.",australia,NA,1950
IDIGBIO_3538,sthenaridea piceonigra,19.91,99.2167,54c3b1cc-6460-4801-b37d-c8783c321020,preservedspecimen,1958-04-12/1958-04-19,chiang mai,fang,NA,NA,t.c. maa,thailand,chiang mai,1958
IDIGBIO_3539,protemiris conospermi,-30.43488,115.2469,d65af003-0ded-44b8-89ea-5bb1bbfbd28e,preservedspecimen,07/11/2004,western australia,5 km n of badgingerra,NA,10,"cassis, weirauch, tatarnic, symonds",australia,none,2004
IDIGBIO_3544,restiophylus leptocarpi,-34.85263,116.3945,0da6a623-0392-4f0d-b8ce-99c0c21f0f76,preservedspecimen,02/12/1999,western australia,"10.1 km w of broke inlet road on chesapeak road, d'entrecasteaux national park",NA,100,"r.t. schuh, g. cassis, and r. silveira",australia,none,1999
IDIGBIO_3545,undetermined,16.46198,121.2197,3c4649a7-b4f0-4819-ab98-432858176154,preservedspecimen,09-Jun-17,nueva vizcaya,"mount palali, mountain trail",NA,NA,"siler, c d",philippines,quezon,NA
IDIGBIO_3546,undetermined,NA,NA,f4048618-3cd5-49e3-a287-5906ebae3de9,preservedspecimen,24-Nov-06,nsw,ku-ring-gai national park,NA,NA,"menard, k l; tatarnic, n",australia,NA,NA
IDIGBIO_3552,wallabicoris rhamnicola,-38.2331,141.316,aca8e0c8-fea0-4c8a-b9f4-f6430df0906a,preservedspecimen,2002-11-08t00:00:00\2002-11-08t00:00:00,victoria,"discovery bay national park, swan lake beach area, 33m",NA,NA,"cassis, g.|australian museum|schuh, t. randall|american museum of natural history (amnh)|schwartz|silveira",australia,NA,2002
IDIGBIO_3553,wallabicoris pultenaei,-36.57,141.4,37eec042-a047-47be-b74d-bce086524f8e,preservedspecimen,1995-11-04t00:00:00\1995-11-04t00:00:00,victoria,"little desert national park, 14km e on mcdonald hiway, 150m",NA,NA,"schuh, t. randall|american museum of natural history (amnh)|cassis, g.|australian museum",australia,NA,1995
IDIGBIO_3554,protemiris grevilleae,-31.43596,118.2627,02c35988-ac36-4d13-8e4c-3501ca6e4c48,preservedspecimen,16/11/1999,western australia,2 km e of nungarin on rt 50,NA,100,"r.t. schuh, g. cassis, and r. silveira",australia,none,1999
IDIGBIO_3559,leptoglossus gonagra,-21.15,149.183334,0b6033c6-fc9e-43e1-b580-b2ba64d60ce8,preservedspecimen,20/05/1959,queensland,"central sugar exp. stn., mackay",NA,10000,"campbell, t.g.",australia,NA,1959
IDIGBIO_3560,creontiades dilutus,-31.08333,141.7,e59e108e-313b-4f65-b7fa-79b6372897d5,preservedspecimen,1981-11-29/1981-12-02,new south wales,fowlers gap research stn.,NA,10000,"cardale, j.c.",australia,NA,1981
