database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy,country,county,year
GBIF_139,Miridae,-35.256041,149.035116,4893219759,HUMAN_OBSERVATION,2023-11-26T23:49,Australian Capital Territory,Pinnacle NR (PIN),MichaelMulvaney,NA,NA,Jubeyjubes,NA,NA,2023
GBIF_147,Miridae,-35.185829,149.033809,4893217361,HUMAN_OBSERVATION,2024-01-30T23:59,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2024
GBIF_149,Miridae,-35.207589,149.14671,4893215887,HUMAN_OBSERVATION,2024-02-11T04:59,Australian Capital Territory,Franklin Grassland (FRA_5),MichaelMulvaney,NA,NA,Jennim,NA,NA,2024
GBIF_150,Miridae,-35.226271,149.129122,4893215569,HUMAN_OBSERVATION,2024-02-10T00:30,Australian Capital Territory,Crace Grassland (CR_2),MichaelMulvaney,NA,NA,Miathurgate,NA,NA,2024
GBIF_155,Miridae,-35.185829,149.033809,4893209958,HUMAN_OBSERVATION,2024-02-27T03:34,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2024
GBIF_162,Miridae,-35.185829,149.033809,4893204526,HUMAN_OBSERVATION,2024-01-30T23:20,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2024
GBIF_163,Miridae,-35.276865,149.15641,4893203565,HUMAN_OBSERVATION,2024-02-11T00:22,Australian Capital Territory,Mount Ainslie,MichaelMulvaney,NA,NA,Silkesma,NA,NA,2024
GBIF_168,Miridae,-35.228179,149.1694,4893200494,HUMAN_OBSERVATION,2024-02-12T00:39,Australian Capital Territory,Mount Majura,KimberiRP,NA,NA,abread111,NA,NA,2024
GBIF_169,Miridae,-35.219439,149.069058,4893200286,HUMAN_OBSERVATION,2023-12-01T01:29,Australian Capital Territory,Croke Place Grassland (CPG),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2023
GBIF_170,Miridae,-35.252147,149.159942,4893200180,HUMAN_OBSERVATION,2024-03-11T05:04:06,Australian Capital Territory,Holtze Close Neighbourhood Park,MichaelMulvaney,NA,NA,Hejor1,NA,NA,2024
GBIF_173,Miridae,-35.323734,149.107746,4893199214,HUMAN_OBSERVATION,2023-12-10T02:55,Australian Capital Territory,Red Hill NR (RED),MichaelMulvaney,NA,NA,Jamonsmallgoods,NA,NA,2023
GBIF_174,Miridae,-35.219439,149.069058,4893198959,HUMAN_OBSERVATION,2023-12-12T22:43,Australian Capital Territory,Croke Place Grassland (CPG),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2023
GBIF_176,Miridae,-35.301127,149.110215,4893195472,HUMAN_OBSERVATION,2024-02-14T00:06,Australian Capital Territory,Stirling Park (STP),MichaelMulvaney,NA,NA,Chrisbenwah,NA,NA,2024
GBIF_177,Miridae,-35.185829,149.033809,4893195404,HUMAN_OBSERVATION,2024-02-27T03:20,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2024
GBIF_180,Miridae,-35.185829,149.033809,4893193627,HUMAN_OBSERVATION,2023-11-17T01:19,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2023
GBIF_181,Miridae,-35.207589,149.14671,4893192838,HUMAN_OBSERVATION,2024-01-13T01:24,Australian Capital Territory,Franklin Grassland (FRA_5),MichaelMulvaney,NA,NA,Jennim,NA,NA,2024
GBIF_183,Miridae,-35.142228,149.098326,4893192525,HUMAN_OBSERVATION,2023-12-15T04:40,Australian Capital Territory,Taylor Offset (TLR),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2023
GBIF_184,Miridae,-35.185829,149.033809,4893192075,HUMAN_OBSERVATION,2024-02-12T00:39,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2024
GBIF_190,Miridae,-35.327786,149.082931,4893187956,HUMAN_OBSERVATION,2024-02-28T21:11:59,Australian Capital Territory,Dawson Street Gardens,Csteele4,NA,NA,Hejor1,NA,NA,2024
GBIF_191,Miridae,-35.334568,149.134229,4893187443,HUMAN_OBSERVATION,2023-12-03T00:04,Australian Capital Territory,Griffith Woodland (GRW),MichaelMulvaney,NA,NA,Jodier,NA,NA,2023
GBIF_195,Miridae,-35.185829,149.033809,4893186135,HUMAN_OBSERVATION,2024-02-12T00:57,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2024
GBIF_196,Miridae,-35.334568,149.134229,4893185307,HUMAN_OBSERVATION,2023-11-18T22:44,Australian Capital Territory,Griffith Woodland (GRW),RogerF,NA,NA,Jodier,NA,NA,2023
GBIF_200,Miridae,-35.327797,149.082747,4893184061,HUMAN_OBSERVATION,2024-02-28T23:03:56,Australian Capital Territory,Dawson Street Gardens,Csteele4,NA,NA,Hejor1,NA,NA,2024
GBIF_207,Miridae,-33.283329,149.100006,4893178963,PRESERVED_SPECIMEN,20/02/1998,New South Wales,Orange,Fletcher,NA,NA,NA,NA,NA,1998
GBIF_208,Miridae,-31.549999,159.083298,4893178615,PRESERVED_SPECIMEN,20/08/1992,New South Wales,[Unplaced Lord Howe Island],Fletcher,NA,NA,NA,NA,NA,1992
GBIF_209,Miridae,-33.4,151.35,4893178583,PRESERVED_SPECIMEN,20/10/1953,New South Wales,Narara G.C.E.S.,Fletcher,NA,NA,NA,NA,NA,1953
GBIF_218,Miridae,-35.185829,149.033809,4893172950,HUMAN_OBSERVATION,2024-01-10T01:24,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2024
GBIF_219,Miridae,-35.203628,149.14785,4893172948,HUMAN_OBSERVATION,2023-12-07T00:03,Australian Capital Territory,North Mitchell Grassland (NMG),MichaelMulvaney,NA,NA,Happywanderer,NA,NA,2023
GBIF_234,Miridae,-35.185829,149.033809,4893168038,HUMAN_OBSERVATION,2024-02-27T03:45,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2024
GBIF_237,Miridae,-35.327503,149.082764,4893167412,HUMAN_OBSERVATION,2024-02-28T23:22:33,Australian Capital Territory,Dawson Street Gardens,Csteele4,NA,NA,Hejor1,NA,NA,2024
GBIF_240,Miridae,-35.251706,149.159575,4893167023,HUMAN_OBSERVATION,2024-03-18T05:15:08,Australian Capital Territory,Holtze Close Neighbourhood Park,MichaelMulvaney,NA,NA,Hejor1,NA,NA,2024
GBIF_242,Miridae,-35.185829,149.033809,4893166965,HUMAN_OBSERVATION,2023-11-17T01:20,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2023
GBIF_245,Miridae,-35.185829,149.033809,4893164789,HUMAN_OBSERVATION,2024-02-12T00:57,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2024
GBIF_255,Miridae,-33.616661,150.683304,4893162094,PRESERVED_SPECIMEN,19/10/1978,New South Wales,Agnes Banks,Fletcher,NA,NA,NA,NA,NA,1978
