database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country,county,year
GBIF_1349,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321360,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1350,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321359,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1351,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321358,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1352,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321357,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1353,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321356,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1354,"Poppiolygus Yasunaga, Schwartz & Chérot, 2018",12.35361,121.06666,2863320504,PRESERVED_SPECIMEN,1945-04-05,Occidental Mindoro,San Jose,M.D. Schwartz,NA,E.S. Ross,NA,NA,1945
GBIF_1355,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863320499,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1356,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863320498,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1357,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863320497,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1358,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863320496,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1359,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863320495,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1360,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863320494,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1361,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863320493,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1362,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863320492,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1363,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863320491,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1364,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863320490,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1365,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863320489,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1366,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863320466,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1367,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863320465,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1368,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863320464,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1369,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863320463,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1370,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863320462,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1371,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863320461,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1372,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863320459,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1373,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863320458,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1374,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863320457,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1375,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863320456,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1376,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863320455,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1377,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863320454,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1378,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863320364,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1379,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863320363,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1380,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863320362,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
